"artist_name","track_name","album_name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"Mother Nature Sound FX","Mountain Creeks","! ! ! ! ! Earthbound ! ! ! ! !",0.222,0.78,0,-29.726,1,0.1,0.67,0.897,0.662,0.0127,86.187,153469
"Johann Sebastian Bach","Musikalisches Opfer, Op. 6, BWV 1079: Musical Offering, BWV 1079: Ricercar à 3","Bach: Variations & More",0.287,0.545,11,-16.24,0,0.0309,0.706,0.909,0.0482,0.84,136.987,362653
"Mother Nature Sound FX","Forest of Rainfall","! ! ! "" Scenes "" ! ! !",0.235,1,0,-15.383,0,0.0977,0.79,0.862,0.96,1e-05,83.461,197488
"Frédéric Chopin","Waltz No.6 In D Flat, Op.64 No.1 -""Minute""","Chopin Cosy Moments",0.322,0.105,1,-25.661,1,0.0401,0.99,0.876,0.142,0.246,65.127,118315
"Pyotr Ilyich Tchaikovsky","The Nutcracker (Suite), Op. 71a, TH. 35: Dance Of The Reed-Pipes (Mirlitons)","Tchaikovsky: Symphonies No.5 & No.6 ""Pathétique""; Nutcracker; Romeo & Juliet",0.447,0.054,2,-31.109,1,0.0382,0.974,0.899,0.137,0.281,127.448,154706
"Mother Nature Sound FX","Rain Gutter","! // stream // !",0.117,0.411,10,-24.738,0,0.0654,0.000738,0.938,0.886,0.0463,57.227,82207
"Ludwig van Beethoven","Symphony No. 8 in F Major Op 93: 2. Scherzando","Beecham Conducts Beethoven",0.596,0.049,10,-19.263,1,0.0438,0.973,0.634,0.074,0.343,84.813,240010
"Juanes","Nada Valgo Sin Tu Amor - Live","La Vida Es Un Ratico En Vivo",0.445,0.785,0,-5.403,1,0.0353,0.172,0,0.372,0.554,153.823,226520
"Antonín Dvorák","Humoresque in F-Sharp Major, B. 138","Dvorák: Complete Piano Works",0.363,0.112,6,-22.854,1,0.0407,0.989,0.882,0.102,0.0859,80.093,148973
"Johann Sebastian Bach","Cantata ""Ich will den Kreuzstab gerne tragen"", BWV 56: 1. Aria: ""Ich will den Kreuzstab gerne tragen""","J.S. Bach: Six Cantatas",0.159,0.24,0,-17.102,0,0.037,0.979,0.533,0.501,0.148,94.826,501306
"Johann Sebastian Bach","Prelude in C Minor, BWV 999 ""The Little""","Bach: Guitar Recital",0.338,0.485,9,-15.987,1,0.0559,0.949,0.858,0.112,0.145,121.311,78617
"Johann Sebastian Bach","Partita for Violin Solo No. 2 in D Minor, BWV 1004 - Transcr. Hall: 2. Corrente","Essence of Bach",0.392,0.249,2,-23.763,0,0.0523,0.968,0.921,0.111,0.912,121.435,168773
"Wolfgang Amadeus Mozart","Piano Concerto No.20, in D Minor K.466: III. Allegro assai","Mozart: Piano Concertos No.20 in D Minor, K.466 and No.23 in A Major, K.488",0.338,0.168,9,-23.956,1,0.0348,0.979,0.928,0.076,0.255,136.864,468200
"Neil Young","Don't Cry No Tears","Neil Young Archives Vol. II (1972 - 1976)",0.558,0.657,9,-8.714,1,0.0264,0.0125,0,0.0911,0.865,114.529,157386
"Ana Belén","Cuentos Para No Dormir","Vida",0.414,0.443,0,-9.002,1,0.0339,0.663,0,0.113,0.122,123.654,277028
"Mother Nature Sound FX","Meditation Bird Loop","! ! # Solidarity # ! !",0.492,0.462,4,-20.365,0,0.471,0.762,0.662,0.179,0.471,123.622,197000
"Katy Perry","Hot N Cold","One Of The Boys",0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0,0.0688,0.861,132.032,220226
"Timbalada","Som Dos Tribais","Timbalada",0.783,0.694,4,-13.024,1,0.145,0.719,0,0.18,0.636,103.175,220240
"Mother Nature Sound FX","Lessons from the Cosmos","Summer Peaceful Tracks for Anxiety Relief & Meditation",0.195,0.00354,2,-34.839,1,0.0413,0.985,0.993,0.073,0.0435,114.122,192000
"Johann Sebastian Bach","Partita No.5 In G Major, BWV 829: 1. Praeambulum","Bach Relaxed Cooking",0.334,0.0872,7,-24.237,1,0.0406,0.994,0.921,0.104,0.747,153.414,112866
"Mother Nature Sound FX","Peace in the Meadows","50 Sleepy Sounds for Yoga - Sounds of Nature for Yoga, Meditation, Yoga, Relaxation, Deep Meditati",0.229,0.112,7,-22.932,0,0.0466,0.989,0.962,0.126,0.0364,62.049,256000
"Johann Sebastian Bach","Alla breve, BWV 589","Bach: Complete Organ Works, Vol. 13",0.123,0.225,2,-16.102,1,0.0386,0.423,0.944,0.0964,0.0712,75.119,323333
"Johann Sebastian Bach","Herr Gott, dich loben alle wir, BWV 130: No. 3, Der Drache brennt vor Neid","L'Apocalypse",0.309,0.382,11,-14.696,1,0.0406,0.945,0.591,0.114,0.345,70.805,278706
"Wolfgang Amadeus Mozart","Divertimento in E flat, K.252: 3. Polonaise (Andante)","Mozart 225 - Large Chamber Works",0.489,0.037,2,-26.198,0,0.0438,0.995,0.914,0.143,0.51,108.432,130493
