"hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","country","market_segment","distribution_channel","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","reserved_room_type","assigned_room_type","booking_changes","deposit_type","agent","company","days_in_waiting_list","customer_type","adr","required_car_parking_spaces","total_of_special_requests","reservation_status","reservation_status_date"
"1","City Hotel",0,15,2017,"January",3,19,2,5,2,0,0,"BB","BRA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","7","NULL",0,"Transient",72.65,0,1,"Check-Out","2017-01-26"
"2","Resort Hotel",1,34,2017,"February",7,16,2,5,2,0,0,"BB","GBR","Direct","Direct",0,0,0,"A","C",1,"No Deposit","250","NULL",0,"Transient",39.6,0,0,"Canceled","2017-02-16"
"3","City Hotel",0,349,2016,"October",41,4,1,5,2,0,0,"BB","DEU","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","58","NULL",162,"Transient-Party",123.33,0,0,"Check-Out","2016-10-10"
"4","City Hotel",0,13,2015,"August",34,20,0,3,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Contract",90,0,2,"Check-Out","2015-08-23"
"5","Resort Hotel",0,128,2016,"December",49,3,0,1,2,0,0,"HB","PRT","Groups","Direct",0,0,0,"A","A",2,"No Deposit","NULL","NULL",0,"Transient-Party",64,0,1,"Check-Out","2016-12-04"
"6","City Hotel",0,2,2017,"February",6,6,1,4,2,0,0,"SC","AUT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","7","NULL",0,"Transient",54.71,0,1,"Check-Out","2017-02-11"
"7","Resort Hotel",1,32,2017,"July",28,12,0,2,2,0,0,"BB","CN","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","240","NULL",0,"Transient",180,0,1,"Canceled","2017-06-29"
"8","City Hotel",0,84,2017,"May",20,16,0,4,2,0,0,"BB","ROU","Direct","Direct",0,0,0,"A","A",0,"No Deposit","14","NULL",0,"Transient",119.25,0,2,"Check-Out","2017-05-20"
"9","City Hotel",1,181,2017,"April",15,9,2,2,2,0,0,"HB","FRA","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9","NULL",0,"Transient",164.7,0,2,"Canceled","2017-03-27"
"10","City Hotel",0,68,2016,"May",21,21,2,3,2,0,0,"BB","DEU","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","7","NULL",0,"Transient",96.99,0,1,"Check-Out","2016-05-26"
"11","City Hotel",1,433,2016,"September",38,15,0,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund","1","NULL",0,"Transient",62,0,0,"Canceled","2015-10-21"
"12","City Hotel",0,6,2017,"January",2,10,0,1,3,0,0,"BB","PRT","Complementary","Direct",0,0,0,"A","D",0,"No Deposit","NULL","NULL",0,"Transient",0,0,1,"Check-Out","2017-01-11"
"13","City Hotel",0,126,2017,"May",21,26,2,4,1,0,0,"BB","DEU","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",117,0,0,"Check-Out","2017-06-01"
"14","Resort Hotel",0,10,2016,"May",20,9,1,3,1,0,0,"BB","PRT","Corporate","Corporate",0,0,4,"A","C",0,"No Deposit","NULL","47",0,"Transient",42,0,0,"Check-Out","2016-05-13"
"15","City Hotel",1,53,2017,"July",28,15,1,1,2,0,0,"SC","ESP","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",135,0,1,"Canceled","2017-05-23"
"16","Resort Hotel",0,107,2016,"May",19,5,4,10,2,0,0,"BB","GBR","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit","243","NULL",0,"Contract",38.83,0,0,"Check-Out","2016-05-19"
"17","City Hotel",1,268,2016,"October",40,1,1,1,2,0,0,"SC","IRL","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient-Party",95.4,0,0,"Canceled","2016-02-17"
"18","Resort Hotel",0,199,2016,"May",19,2,1,1,2,0,0,"HB","DEU","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit","298","NULL",0,"Transient-Party",85,0,0,"Check-Out","2016-05-04"
"19","City Hotel",0,98,2015,"November",48,23,1,3,1,0,0,"BB","THA","Groups","TA/TO",0,0,0,"A","A",1,"No Deposit","37","NULL",0,"Transient-Party",70,0,0,"Check-Out","2015-11-27"
"20","City Hotel",0,1,2017,"February",8,21,0,1,1,0,0,"HB","ESP","Direct","Direct",0,0,0,"D","D",1,"No Deposit","14","NULL",0,"Transient",149,0,0,"Check-Out","2017-02-22"
"21","Resort Hotel",0,289,2016,"March",14,27,1,0,2,0,0,"BB","DEU","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","240","NULL",0,"Transient",45.36,0,0,"Check-Out","2016-03-28"
"22","Resort Hotel",0,0,2016,"April",15,6,0,1,1,0,0,"BB","NULL","Corporate","Corporate",0,0,4,"A","A",1,"No Deposit","NULL","NULL",0,"Transient",50.4,0,0,"Check-Out","2016-04-07"
"23","Resort Hotel",1,245,2015,"September",39,25,0,1,2,0,0,"HB","PRT","Groups","TA/TO",0,1,0,"A","A",0,"Non Refund","248","NULL",0,"Transient",80,0,0,"Canceled","2015-07-31"
"24","City Hotel",0,6,2015,"August",33,12,0,4,2,0,0,"BB","BEL","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Contract",90,0,2,"Check-Out","2015-08-16"
"25","Resort Hotel",0,6,2016,"July",31,27,1,4,2,0,0,"BB","ARE","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","240","NULL",0,"Transient-Party",207,0,0,"Check-Out","2016-08-01"
"26","Resort Hotel",0,31,2016,"October",41,7,0,1,1,0,0,"BB","PRT","Corporate","Corporate",0,0,0,"A","G",0,"No Deposit","NULL","443",0,"Transient-Party",75,1,0,"Check-Out","2016-10-08"
"27","City Hotel",0,1,2015,"November",45,5,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,2,"A","A",0,"No Deposit","NULL","40",0,"Transient",65,0,0,"Check-Out","2015-11-06"
"28","City Hotel",1,50,2015,"October",43,24,1,1,2,0,0,"BB","PRT","Groups","Direct",0,0,0,"A","A",0,"Non Refund","NULL","NULL",0,"Transient",75,0,0,"Canceled","2015-10-07"
"29","City Hotel",1,86,2016,"January",4,22,0,1,2,0,0,"BB","PRT","Groups","TA/TO",0,1,0,"A","A",0,"Non Refund","29","NULL",35,"Transient",85,0,0,"Canceled","2015-12-02"
"30","City Hotel",0,39,2017,"June",24,12,1,2,2,0,0,"SC","IRL","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",120,0,1,"Check-Out","2017-06-15"
"31","City Hotel",0,18,2017,"May",21,21,2,2,2,0,0,"BB","GBR","Online TA","TA/TO",0,0,0,"A","B",0,"No Deposit","7","NULL",0,"Transient",126,0,1,"Check-Out","2017-05-25"
"32","City Hotel",1,162,2017,"February",5,2,1,3,2,0,0,"BB","BRA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient",88.4,0,0,"Canceled","2016-10-26"
"33","City Hotel",0,174,2016,"August",33,12,2,2,2,0,0,"BB","DEU","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","9","NULL",0,"Transient-Party",99.45,0,1,"Check-Out","2016-08-16"
"34","City Hotel",1,53,2016,"March",14,29,0,5,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","D",0,"No Deposit","28","NULL",0,"Transient",85,0,0,"Canceled","2016-03-25"
"35","Resort Hotel",0,3,2016,"July",28,9,1,1,2,1,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",3,"No Deposit","240","NULL",0,"Transient",198.5,0,2,"Check-Out","2016-07-11"
"36","City Hotel",1,283,2015,"July",31,27,1,1,1,0,0,"BB","PRT","Groups","TA/TO",0,1,0,"A","A",1,"Non Refund","1","NULL",0,"Transient-Party",60,0,0,"Canceled","2015-07-02"
"37","Resort Hotel",1,12,2016,"August",34,16,0,2,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","240","NULL",0,"Transient",209,0,1,"Canceled","2016-08-06"
